notes,five_year_age_groups,five_year_age_groups_code,deaths,population,crude_rate,crude_rate_lower_95_percent_confidence_interval,crude_rate_upper_95_percent_confidence_interval,crude_rate_standard_error,death_cause,acp_name,time_period
,< 1 year,1,Suppressed,796624,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Graying America,2010-2014
,1-4 years,1-4,Suppressed,3326617,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Graying America,2010-2014
,5-9 years,5-9,Suppressed,4346184,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Graying America,2010-2014
,10-14 years,10-14,111,4496988,2.468,2.009,2.928,0.234,Suicide,Graying America,2010-2014
,15-19 years,15-19,547,4559439,11.997,10.992,13.002,0.513,Suicide,Graying America,2010-2014
,20-24 years,20-24,878,4275644,20.535,19.177,21.893,0.693,Suicide,Graying America,2010-2014
,25-29 years,25-29,957,4201916,22.775,21.332,24.218,0.736,Suicide,Graying America,2010-2014
,30-34 years,30-34,953,4203246,22.673,21.233,24.112,0.734,Suicide,Graying America,2010-2014
,35-39 years,35-39,1004,4136720,24.270,22.769,25.772,0.766,Suicide,Graying America,2010-2014
,40-44 years,40-44,1123,4584284,24.497,23.064,25.930,0.731,Suicide,Graying America,2010-2014
,45-49 years,45-49,1454,5105412,28.480,27.016,29.943,0.747,Suicide,Graying America,2010-2014
,50-54 years,50-54,1746,5734940,30.445,29.017,31.873,0.729,Suicide,Graying America,2010-2014
,55-59 years,55-59,1678,5806536,28.898,27.516,30.281,0.705,Suicide,Graying America,2010-2014
,60-64 years ,60-64,1211,5792073,20.908,19.730,22.085,0.601,Suicide,Graying America,2010-2014
,65-69 years,65-69,990,5291906,18.708,17.542,19.873,0.595,Suicide,Graying America,2010-2014
,70-74 years,70-74,813,4171791,19.488,18.148,20.828,0.683,Suicide,Graying America,2010-2014
,75-79 years,75-79,651,3056206,21.301,19.665,22.937,0.835,Suicide,Graying America,2010-2014
,80-84 years,80-84,578,2197637,26.301,24.157,28.445,1.094,Suicide,Graying America,2010-2014
,85-89 years,85-89,421,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Graying America,2010-2014
,90-94 years,90-94,154,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Graying America,2010-2014
,95-99 years,95-99,38,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Graying America,2010-2014
,100+ years,100+,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Graying America,2010-2014
,Not Stated,NS,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Graying America,2010-2014
Total,,,15312,78098142,19.606,19.296,19.917,0.158,Suicide,Graying America,2010-2014
