notes,five_year_age_groups,five_year_age_groups_code,deaths,population,crude_rate,crude_rate_lower_95_percent_confidence_interval,crude_rate_upper_95_percent_confidence_interval,crude_rate_standard_error,death_cause,acp_name,time_period
,< 1 year,1,Suppressed,715519,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Military Posts,2010-2014
,1-4 years,1-4,Suppressed,2857340,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Military Posts,2010-2014
,5-9 years,5-9,Suppressed,3460761,Suppressed,Suppressed,Suppressed,Suppressed,Suicide,Military Posts,2010-2014
,10-14 years,10-14,73,3379486,2.160,1.693,2.716,0.253,Suicide,Military Posts,2010-2014
,15-19 years,15-19,371,3459958,10.723,9.632,11.814,0.557,Suicide,Military Posts,2010-2014
,20-24 years,20-24,835,4159119,20.076,18.715,21.438,0.695,Suicide,Military Posts,2010-2014
,25-29 years,25-29,759,3883397,19.545,18.154,20.935,0.709,Suicide,Military Posts,2010-2014
,30-34 years,30-34,680,3457986,19.665,18.187,21.143,0.754,Suicide,Military Posts,2010-2014
,35-39 years,35-39,628,3087078,20.343,18.752,21.934,0.812,Suicide,Military Posts,2010-2014
,40-44 years,40-44,693,3185840,21.753,20.133,23.372,0.826,Suicide,Military Posts,2010-2014
,45-49 years,45-49,766,3382396,22.647,21.043,24.250,0.818,Suicide,Military Posts,2010-2014
,50-54 years,50-54,797,3513217,22.686,21.111,24.261,0.804,Suicide,Military Posts,2010-2014
,55-59 years,55-59,665,3148995,21.118,19.513,22.723,0.819,Suicide,Military Posts,2010-2014
,60-64 years ,60-64,432,2657343,16.257,14.724,17.790,0.782,Suicide,Military Posts,2010-2014
,65-69 years,65-69,319,2066447,15.437,13.743,17.131,0.864,Suicide,Military Posts,2010-2014
,70-74 years,70-74,210,1487414,14.118,12.209,16.028,0.974,Suicide,Military Posts,2010-2014
,75-79 years,75-79,193,1085888,17.773,15.266,20.281,1.279,Suicide,Military Posts,2010-2014
,80-84 years,80-84,171,766215,22.317,18.972,25.663,1.707,Suicide,Military Posts,2010-2014
,85-89 years,85-89,130,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Military Posts,2010-2014
,90-94 years,90-94,47,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Military Posts,2010-2014
,95-99 years,95-99,10,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Military Posts,2010-2014
,100+ years,100+,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Military Posts,2010-2014
,Not Stated,NS,Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Suicide,Military Posts,2010-2014
Total,,,7781,50452538,15.422,15.080,15.765,0.175,Suicide,Military Posts,2010-2014
